Sample,acmLKFE.M,acmLKFE.S,acmLKAA.M,acmLKAA.S,acmLKIE.M,acmLKIE.S,acmLAFE.M,acmLAFE.S,acmLFAA.M,acmLFAA.S,acmLHPFE.M,acmLHPFE.S,acmLHPAA.M,acmLHPAA.S,acmLHPIE.M,acmLHPIE.S,acmLSPFE.M,acmLSPFE.S,acmLSPML.M,acmLSPML.S,acmLSPIE.M,acmLSPIE.S,acmLFIE.M,acmLFIE.S,acmRKFE.M,acmRKFE.S,acmRKAA.M,acmRKAA.S,acmRKIE.M,acmRKIE.S,acmRAFE.M,acmRAFE.S,acmRFAA.M,acmRFAA.S,acmRFIE.M,acmRFIE.S,acmRAIE.M,acmRAIE.S,acmLAIE.M,acmLAIE.S,acmRSHTILT.M,acmRSHTILT.S,acmRSHTILTOFF.M,acmRSHTILTOFF.S,acmRSHOBLI.M,acmRSHOBLI.S,acmRSHOBLIOFF.M,acmRSHOBLIOFF.S,acmRSHROT.M,acmRSHROT.S,acmRSHROTOFF.M,acmRSHROTOFF.S,acmLSHTILT.M,acmLSHTILT.S,acmLSHTILTOFF.M,acmLSHTILTOFF.S,acmLSHOBLI.M,acmLSHOBLI.S,acmLSHOBLIOFF.M,acmLSHOBLIOFF.S,acmLSHROT.M,acmLSHROT.S,acmLSHROTOFF.M,acmLSHROTOFF.S,acmRHPFE.M,acmRHPFE.S,acmRHPAA.M,acmRHPAA.S,acmRHPIE.M,acmRHPIE.S,acmRSPFE.M,acmRSPFE.S,acmRSPML.M,acmRSPML.S,acmRSPIE.M,acmRSPIE.S,acmRPTILT.M,acmRPTILT.S,acmRPOBLI.M,acmRPOBLI.S,acmRPROT.M,acmRPROT.S,acmLPTILT.M,acmLPTILT.S,acmLPOBLI.M,acmLPOBLI.S,acmLPROT.M,acmLPROT.S
32,15.2,0,4.6,0,-7.3,0,16.2,0,-10.3,0,5.5,0,-0.7,0,7.8,0,-49.9,0,3.4,0,0.9,0,-0.4,0,14.8,0,6.3,0,-2.6,0,15.6,0,-17.5,0,0.1,0,-17.4,0,-7.8,0,59.6,0,16,0,-1.8,0,-0.2,0,0.4,0,-5.4,0,56.1,0,12.5,0,3.2,0,1.6,0,1.7,0,7.5,0,7.1,0,2.5,0,6.3,0,-52.3,0,-3.5,0,-5.2,0,7.2,0,2.4,0,-4.4,0,6.3,0,-0.3,0,2.3,0
33,14.3,0,4.7,0,-7.5,0,16.4,0,-10.2,0,4.1,0,-0.9,0,7.9,0,-50.2,0,3.7,0,0.5,0,-0.3,0,14,0,6.4,0,-2.8,0,16,0,-17.6,0,0,0,-17.5,0,-7.9,0,59.8,0,16.2,0,-1.7,0,-0.1,0,0.6,0,-5.2,0,56.4,0,12.7,0,3.3,0,1.7,0,2,0,7.8,0,5.9,0,2.3,0,6.8,0,-52.4,0,-3.3,0,-5.6,0,7.2,0,2.3,0,-4.5,0,6.2,0,-0.4,0,2.1,0
34,13.3,0,4.8,0,-7.8,0,16.5,0,-10,0,2.6,0,-1,0,8,0,-50.5,0,3.9,0,0.1,0,-0.2,0,13.3,0,6.6,0,-3,0,16.3,0,-17.7,0,0,0,-17.6,0,-8.1,0,60,0,16.4,0,-1.6,0,0.1,0,0.8,0,-5,0,56.6,0,13,0,3.4,0,1.8,0,2.2,0,8,0,4.8,0,2,0,7.2,0,-52.6,0,-3,0,-5.9,0,7.2,0,2.2,0,-4.6,0,6.1,0,-0.4,0,1.9,0
35,12.2,0,5,0,-8.3,0,16.6,0,-9.7,0,1.1,0,-1.1,0,8,0,-50.8,0,4,0,-0.4,0,0.1,0,12.5,0,6.8,0,-3.2,0,16.7,0,-17.6,0,0,0,-17.7,0,-8.4,0,60.2,0,16.5,0,-1.5,0,0.2,0,1,0,-4.8,0,56.8,0,13.2,0,3.5,0,1.9,0,2.5,0,8.3,0,3.7,0,1.7,0,7.5,0,-52.8,0,-2.8,0,-6.2,0,7.2,0,2.1,0,-4.8,0,6,0,-0.4,0,1.6,0
36,11.2,0,5.2,0,-8.7,0,16.6,0,-9.3,0,-0.4,0,-1.2,0,7.9,0,-51.2,0,4.1,0,-1,0,0.4,0,11.9,0,7,0,-3.6,0,17,0,-17.4,0,0,0,-17.9,0,-8.8,0,60.4,0,16.7,0,-1.4,0,0.3,0,1.2,0,-4.6,0,57.1,0,13.4,0,3.7,0,2,0,2.7,0,8.5,0,2.6,0,1.4,0,7.6,0,-52.9,0,-2.6,0,-6.5,0,7.2,0,2,0,-5,0,5.9,0,-0.4,0,1.3,0
37,10.3,0,5.3,0,-9.2,0,16.5,0,-8.7,0,-1.8,0,-1.3,0,7.8,0,-51.5,0,4.2,0,-1.6,0,0.8,0,11.3,0,7.1,0,-3.9,0,17.3,0,-17.1,0,0,0,-18.1,0,-9.1,0,60.6,0,17,0,-1.3,0,0.4,0,1.4,0,-4.4,0,57.3,0,13.7,0,3.8,0,2.1,0,2.9,0,8.7,0,1.5,0,1.2,0,7.6,0,-53.2,0,-2.4,0,-6.9,0,7.3,0,2,0,-5.1,0,5.8,0,-0.3,0,1,0
38,9.6,0,5.4,0,-9.6,0,16.5,0,-8.1,0,-3.2,0,-1.4,0,7.5,0,-51.8,0,4.3,0,-2.1,0,1.2,0,11,0,7.2,0,-4.2,0,17.6,0,-16.6,0,0.1,0,-18.4,0,-9.4,0,60.9,0,17.2,0,-1.2,0,0.4,0,1.6,0,-4.2,0,57.5,0,13.9,0,3.9,0,2.2,0,3.1,0,8.9,0,0.5,0,1,0,7.4,0,-53.4,0,-2.2,0,-7.2,0,7.3,0,2,0,-5.3,0,5.7,0,-0.2,0,0.6,0
39,9,0,5.4,0,-9.9,0,16.4,0,-7.5,0,-4.4,0,-1.5,0,7.1,0,-52.1,0,4.3,0,-2.6,0,1.6,0,10.7,0,7.2,0,-4.6,0,17.8,0,-16.1,0,0.2,0,-18.8,0,-9.7,0,61.1,0,17.4,0,-1.1,0,0.5,0,1.7,0,-4,0,57.8,0,14.1,0,4,0,2.3,0,3.3,0,9.1,0,-0.4,0,0.8,0,7.2,0,-53.6,0,-2.1,0,-7.6,0,7.2,0,2,0,-5.5,0,5.6,0,-0.1,0,0.3,0
40,8.7,0,5.5,0,-10,0,16.4,0,-6.9,0,-5.5,0,-1.5,0,6.8,0,-52.4,0,4.4,0,-3.1,0,2,0,10.6,0,7.2,0,-4.9,0,18,0,-15.6,0,0.4,0,-19.1,0,-9.9,0,61.2,0,17.6,0,-1,0,0.6,0,1.9,0,-3.9,0,58,0,14.4,0,4.1,0,2.4,0,3.5,0,9.2,0,-1.3,0,0.6,0,6.8,0,-53.8,0,-2,0,-7.9,0,7.2,0,2,0,-5.7,0,5.6,0,0,0,0,0
41,8.6,0,5.5,0,-10.1,0,16.4,0,-6.5,0,-6.4,0,-1.7,0,6.5,0,-52.6,0,4.5,0,-3.4,0,2.3,0,10.6,0,7.2,0,-5.1,0,18.1,0,-15.1,0,0.5,0,-19.4,0,-9.9,0,61.2,0,17.6,0,-1,0,0.7,0,2,0,-3.8,0,58.2,0,14.6,0,4.2,0,2.5,0,3.6,0,9.4,0,-2.3,0,0.5,0,6.6,0,-53.9,0,-1.9,0,-8.3,0,7.1,0,2,0,-6,0,5.6,0,0,0,-0.3,0
